cantidad_solicitada,modelo,prompt_id,id,producto,categoria,resena,sentimiento,largo_palabras,archivo_origen
50,mistral:latest,prompt_2_belleza,3,Mascarilla de barro Origins,Cuidado cara,Excelente resultado. Mejora la textura y brillo de mi piel.,POSITIVO,10,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,4,Crema facial Olay,Cuidado cara,Mejora la humedad de mi piel seca.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,5,Batón de maquillaje Maybelline,Maquillaje,Fácil de usar y seco rápido.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,6,Lipstick MAC,Maquillaje,Color vivo y duradero.,POSITIVO,4,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,7,Crema de uñas OPI,Uñas,Mejora la calidad de mis uñas.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,8,Bálsamo para labios Burt's Bees,Cuidado cara,Húmedo y protector para los labios secos.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,9,Jabón de baño Dove,Cuidado personal,Mejora el olor y la suavidad de mi piel.,POSITIVO,9,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,10,Aceite de coco Coconut Oil,Cuidado personal,Una excelente opción para el cuidado general.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,11,Spray antiperspirante Dove,Cuidado personal,Mejora la olor y la duración.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,12,Piel de limón Dial,Cuidado personal,Fácil de usar y efectivo.,POSITIVO,5,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,13,Mascara Benefit They're Real!,Maquillaje,Mejora la longitud y volumen de mis cilios.,POSITIVO,8,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,14,Mascara Maybelline Lash Sensational,Maquillaje,Mejora la apariencia de mis cilios.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,15,Lip balm ChapStick,Cuidado cara,Mejora la humedad de mis labios secos.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,16,Crema para cicatrices Neutrogena,Cuidado cara,Reduce la visibilidad de mis cicatrices.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,17,Aceite de arándano rojo Burt's Bees,Cuidado personal,Mejora la calidad de mi piel seca.,NEUTRO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,18,Aceite de arándano rojo The Body Shop,Cuidado personal,Mejora la suavidad y brillantez de mi piel.,POSITIVO,8,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,19,Crema facial St. Ives,Cuidado cara,Mejora la humedad de mi piel seca.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,20,Lavado facial Neutrogena,Cuidado cara,Mejora la limpieza y el equilibrio de mi piel.,POSITIVO,9,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,21,Mascarilla de barro L'Oréal,Cuidado cara,Mejora la textura y brillo de mi piel.,POSITIVO,8,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,22,Crema facial Olay,Cuidado cara,Mejora la humedad y la suavidad de mi piel.,POSITIVO,9,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,23,Crema para cicatrices Neutrogena,Cuidado cara,Mejora la visibilidad de mis cicatrices.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,24,Mascara Maybelline Lash Sensational,Maquillaje,Mejora la apariencia de mis cilios.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,25,Batón de maquillaje Maybelline,Maquillaje,Fácil de usar y seco rápido.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,26,Crema para uñas OPI,Uñas,Mejora la calidad de mis uñas.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,27,Bálsamo para labios Burt's Bees,Cuidado cara,Húmedo y protector para los labios secos.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,28,Bálsamo para labios Vaseline,Cuidado cara,Húmedo y protector para los labios secos.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,29,Jabón de baño Dove,Cuidado personal,Mejora el olor y la suavidad de mi piel.,POSITIVO,9,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,30,Aceite de coco Coconut Oil,Cuidado personal,Una excelente opción para el cuidado general.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,31,Spray antiperspirante Dove,Cuidado personal,Mejora la olor y la duración.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,32,Piel de limón Dial,Cuidado personal,Fácil de usar y efectivo.,POSITIVO,5,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,33,Mascara Benefit They're Real!,Maquillaje,Mejora la longitud y volumen de mis cilios.,POSITIVO,8,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,34,Lipstick MAC,Maquillaje,Color vivo y duradero.,POSITIVO,4,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,35,Crema para uñas OPI,Uñas,Mejora la calidad de mis uñas.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,36,Bálsamo para labios Burt's Bees,Cuidado cara,Húmedo y protector para los labios secos.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,37,Jabón de baño Dove,Cuidado personal,Mejora el olor y la suavidad de mi piel.,POSITIVO,9,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,38,Aceite de coco Coconut Oil,Cuidado personal,Una excelente opción para el cuidado general.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,39,Spray antiperspirante Dove,Cuidado personal,Mejora la olor y la duración.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,40,Piel de limón Dial,Cuidado personal,Fácil de usar y efectivo.,POSITIVO,5,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,41,Mascara Benefit They're Real!,Maquillaje,Mejora la longitud y volumen de mis cilios.,POSITIVO,8,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,42,Lipstick MAC,Maquillaje,Color vivo y duradero.,POSITIVO,4,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,43,Crema para uñas OPI,Uñas,Mejora la calidad de mis uñas.,POSITIVO,6,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,44,Bálsamo para labios Burt's Bees,Cuidado cara,Húmedo y protector para los labios secos.,POSITIVO,7,results/mistral_latest_prompt_2_belleza_50gen.txt
50,mistral:latest,prompt_2_belleza,45,Jabón de baño Dove,Cuidado personal,Mejora el olor y la suavidad de mi piel.,POSITIVO,9,results/mistral_latest_prompt_2_belleza_50gen.txt
